===================================================================================================================
Lumping method ** FullSystem ** | Pure organic component vapor pressure, param. A and B computed using EVAPORATION method | YaxisChoice = log10(act.coeff_ratio)
===================================================================================================================
 
nneutral (full system) : 175; # of organic surrogate components: 174
 
  EVAPParam_A,      EVAPParam_B,       SMILES                                                                                                                                                                                                                                                               
 3.979290E+00,    -5.485700E+04,    OC(=O)CC(O)C(=O)C                                                                                                                                                                                       
 3.988090E+00,    -5.806420E+04,    O=C(OON(=O)=O)CC(=O)CC(O)C(=O)C                                                                                                                                                                         
 4.172310E+00,    -3.370290E+04,    OCC(=O)C=O                                                                                                                                                                                              
 3.947540E+00,    -5.330090E+04,    CC(=O)C(O)CC(=O)CO                                                                                                                                                                                      
 3.713470E+00,    -4.128770E+04,    O=N(=O)OOC(=O)CC(=O)C(=O)C                                                                                                                                                                              
 4.445060E+00,    -6.183740E+04,    OOC(=O)CC1CC(C(=O)O)C1(C)C                                                                                                                                                                              
 4.148860E+00,    -5.512140E+04,    O=CCC(=O)CC(OO)C(=O)C                                                                                                                                                                                   
 4.484920E+00,    -5.213310E+04,    O=N(=O)OC1CC=C(C)C(O)C1                                                                                                                                                                                 
 3.886620E+00,    -4.120220E+04,    O=CCC1CC(C(=O)C=O)C1(C)C                                                                                                                                                                                
 4.276010E+00,    -6.766360E+04,    OC(=O)CC(=O)CC(O)C(=O)C                                                                                                                                                                                 
 4.155310E+00,    -6.206410E+04,    OOC(=O)CC(=O)CC(O)C(=O)C                                                                                                                                                                                
 3.963920E+00,    -4.342760E+04,    O=CCC(=O)CC(=O)C(=O)C                                                                                                                                                                                   
 4.387350E+00,    -5.608810E+04,    OCC(=O)C1CC(CO)C1(C)C                                                                                                                                                                                   
 3.242190E+00,    -3.168630E+04,    O=CCC(=O)OON(=O)=O                                                                                                                                                                                      
 4.220040E+00,    -5.580540E+04,    O=CCC(O)C(=O)O                                                                                                                                                                                          
 4.384800E+00,    -5.595570E+04,    O=N(=O)OOC(=O)C1CC(C(=O)O)C1(C)C                                                                                                                                                                        
 3.566440E+00,    -2.570100E+04,    CC(=O)OO                                                                                                                                                                                                
 4.113680E+00,    -4.512960E+04,    O=CC(=O)CC(O)C(=O)C                                                                                                                                                                                     
 5.727110E+00,    -8.299420E+04,    OCC(CC(=O)C(=O)O)C(C)(C)ON(=O)=O                                                                                                                                                                        
 3.638720E+00,    -3.834970E+04,    O=CCC(O)C(=O)C                                                                                                                                                                                          
 3.462600E+00,    -2.347060E+04,    COON(=O)=O                                                                                                                                                                                              
 4.452050E+00,    -5.341740E+04,    OCC(=O)C(=O)CC(=O)OON(=O)=O                                                                                                                                                                             
 4.355490E+00,    -5.417140E+04,    OC(=O)C1CC(O)C1(C)C                                                                                                                                                                                     
 4.502780E+00,    -6.461540E+04,    OC(=O)C1CC(C(=O)O)C1(C)C                                                                                                                                                                                
