CpNo SMILES VP_N_BP_N_ParA VP_N_BP_N_ParB VP_N_BP_SB_ParA VP_N_BP_SB_ParB VP_N_BP_JR_ParA VP_N_BP_JR_ParB VP_MY_BP_N_ParA VP_MY_BP_N_ParB VP_MY_BP_SB_ParA VP_MY_BP_SB_ParB VP_MY_BP_JR_ParA VP_MY_BP_JR_ParB EVAP_ParA EVAP_ParB EVAP2_ParA EVAP2_ParB SIMPOL_ParA SIMPOL_ParB
63 OOCC1CC(C(=O)CO)C1(C)C 4.40695E+00 -6.35828E+04 4.37544E+00 -6.23299E+04 4.89097E+00 -7.86030E+04 3.42534E+00 -5.30115E+04 3.44886E+00 -5.22094E+04 3.12693E+00 -6.17917E+04 4.26581E+00 -5.79718E+04 4.26581E+00 -5.79718E+04 2.28623E+00 -5.06322E+04
64 CC(=O)C(O)CC(=O)COO 4.42762E+00 -6.32863E+04 4.35627E+00 -6.02398E+04 4.80664E+00 -7.57743E+04 3.51758E+00 -5.35561E+04 3.57412E+00 -5.15398E+04 3.26941E+00 -6.11235E+04 3.85529E+00 -5.59848E+04 3.85529E+00 -5.59848E+04 1.42907E+00 -4.43274E+04
65 O=CCC(CC(=O)C(=O)C)C(C)(C)O 4.05075E+00 -5.57364E+04 4.04415E+00 -5.54276E+04 4.54782E+00 -7.25043E+04 3.51367E+00 -4.96851E+04 3.51898E+00 -4.94647E+04 3.19072E+00 -6.04700E+04 4.29640E+00 -5.47027E+04 4.29640E+00 -5.47027E+04 2.52462E+00 -5.30325E+04
66 O=CCC=O 3.46022E+00 -3.13116E+04 3.49205E+00 -2.76863E+04 3.53441E+00 -2.48736E+04 3.40565E+00 -2.97157E+04 3.37421E+00 -2.59946E+04 3.31941E+00 -2.29198E+04 3.17655E+00 -2.38387E+04 3.17655E+00 -2.38387E+04 3.83571E+00 -3.03811E+04
67 O=CCC(=O)O 3.76599E+00 -3.82098E+04 3.76766E+00 -3.92252E+04 3.76587E+00 -3.80575E+04 3.79698E+00 -3.76991E+04 3.78501E+00 -3.86323E+04 3.79867E+00 -3.75578E+04 3.99758E+00 -4.12857E+04 3.99758E+00 -4.12857E+04 3.03774E+00 -3.75047E+04
68 O=CCC(C(=O)C)C(C)(C)O 3.71713E+00 -4.37591E+04 3.71682E+00 -4.37277E+04 3.84943E+00 -5.23346E+04 3.63564E+00 -4.21001E+04 3.63607E+00 -4.20735E+04 3.49336E+00 -4.89214E+04 3.79787E+00 -4.51013E+04 3.79787E+00 -4.51013E+04 3.28103E+00 -4.77210E+04
69 O=CC1CC(C(=O)O)C1(C)C 3.90140E+00 -4.81465E+04 3.93399E+00 -5.03824E+04 4.02610E+00 -5.53109E+04 3.49101E+00 -4.31158E+04 3.45396E+00 -4.47852E+04 3.36452E+00 -4.82891E+04 4.29197E+00 -4.81081E+04 4.29197E+00 -4.81081E+04 3.13850E+00 -4.91209E+04
70 OCC(ON(=O)=O)CC(=O)C(=O)C 4.19069E+00 -5.80215E+04 4.17144E+00 -5.71301E+04 4.51499E+00 -6.97449E+04 3.51080E+00 -5.01548E+04 3.52584E+00 -4.95389E+04 3.29445E+00 -5.76625E+04 5.28423E+00 -6.07376E+04 5.28423E+00 -6.07376E+04 1.75639E+00 -4.47505E+04
71 OCC(=O)C1CC(CC(=O)OON(=O)=O)C1(C)C 4.23956E+00 -6.08908E+04 4.28425E+00 -6.26008E+04 4.95211E+00 -8.16140E+04 3.44514E+00 -5.19229E+04 3.41516E+00 -5.30425E+04 3.05254E+00 -6.41164E+04 4.27887E+00 -5.72211E+04 4.27887E+00 -5.72211E+04 1.27723E+00 -4.71031E+04
72 O=N(=O)OOC(=O)CC1CC(C(=O)O)C1(C)C 4.27838E+00 -5.92059E+04 4.36987E+00 -6.30364E+04 4.88238E+00 -7.87806E+04 3.45939E+00 -4.92935E+04 3.39534E+00 -5.17747E+04 3.10507E+00 -6.09000E+04 4.44778E+00 -5.87772E+04 4.44778E+00 -5.87772E+04 1.48297E+00 -4.79673E+04
73 O=CCC(=O)C=O 3.46120E+00 -3.36643E+04 3.46053E+00 -3.46162E+04 3.46335E+00 -3.27293E+04 3.42780E+00 -3.20718E+04 3.42638E+00 -3.29736E+04 3.42750E+00 -3.11709E+04 3.66454E+00 -2.96789E+04 3.66454E+00 -2.96789E+04 2.96705E+00 -3.29224E+04
74 OCC(=O)C(=O)CC(CO)C(C)(C)O 5.18309E+00 -8.04376E+04 5.02354E+00 -7.53898E+04 6.74333E+00 -1.15346E+05 3.36528E+00 -6.01422E+04 3.45670E+00 -5.73739E+04 2.71737E+00 -7.61447E+04 4.93776E+00 -7.35470E+04 4.93776E+00 -7.35470E+04 2.00242E+00 -6.37735E+04
75 OC(=O)CC1CC(C(=O)O)C1(C)C 4.50014E+00 -6.52068E+04 4.52434E+00 -6.61180E+04 5.13725E+00 -8.39827E+04 3.34768E+00 -5.25214E+04 3.33037E+00 -5.30735E+04 2.97578E+00 -6.28603E+04 4.56576E+00 -6.74369E+04 4.56576E+00 -6.74369E+04 2.45279E+00 -5.90146E+04
